,배우코드,영화제목,개봉날짜,배우이름,감독,출연진,평점
220,moon_sori,자유의 언덕,20148840,문소리,홍상수,"['카세 료', '문소리', '서영화']",7.65
221,yoon_yeojeong,자유의 언덕,20148840,윤여정,홍상수,"['카세 료', '문소리', '서영화']",7.65
222,yoon_yeojeong,자유의 언덕,20148840,윤여정,홍상수,"['카세 료', '문소리', '서영화']",7.65
223,moon_sori,만신,20123662,문소리,박찬경,"['김새론', '류현경', '문소리', '김금화']",8.06
224,moon_sori,관능의 법칙,20130561,문소리,권칠인,"['엄정화', '문소리', '조민수']",7.66
225,moon_sori,분노의 윤리학,20128747,문소리,박명랑,"['이제훈', '조진웅', '김태훈', '곽도원', '문소리']",6.8
226,moon_sori,분노의 윤리학,20128747,문소리,박명랑,"['이제훈', '조진웅', '김태훈', '곽도원', '문소리']",6.8
227,lee_jehoon,분노의 윤리학,20128747,이제훈,박명랑,"['이제훈', '조진웅', '김태훈', '곽도원', '문소리']",6.8
228,lee_jehoon,분노의 윤리학,20128747,이제훈,박명랑,"['이제훈', '조진웅', '김태훈', '곽도원', '문소리']",6.8
229,moon_sori,마당을 나온 암탉,20110279,문소리,오성윤,"['문소리', '유승호', '최민식', '박철민', '김상현']",8.88
230,choi_minsik,마당을 나온 암탉,20110279,최민식,오성윤,"['문소리', '유승호', '최민식', '박철민', '김상현']",8.88
